"x" "time" "time2"
"1" 2.80485740729017 1 0.01
"2" 0.479628039978054 2 0.04
"3" 0.799703570051907 3 0.09
"4" -0.445636973038806 4 0.16
"5" -0.47470423618235 5 0.25
"6" 0.718285586700227 6 0.36
"7" -0.823750641620327 7 0.49
"8" 1.80255930252549 8 0.64
"9" -1.44064592697143 9 0.81
"10" 0.178288448641821 10 1
"11" -0.055171077498383 11 1.21
"12" -1.44970077968374 12 1.44
"13" 1.52312210254644 13 1.69
"14" 0.614767312888835 14 1.96
"15" -0.871949221116217 15 2.25
"16" 1.47206469086891 16 2.56
"17" 0.593147895246478 17 2.89
"18" 0.4944817611072 18 3.24
"19" -0.737974108475219 19 3.61
"20" 0.347723798577114 20 4
"21" -0.86494686580221 21 4.41
"22" 0.811804949427523 22 4.84
"23" -1.58079380621499 23 5.29
"24" 0.740071641134168 24 5.76
"25" 0.00636716414648645 25 6.25
"26" 0.194890331382911 26 6.76
"27" -0.583226666274998 27 7.29
"28" 0.891319656683023 28 7.84
"29" 1.5316203126663 29 8.41
"30" 0.164908616290111 30 9
"31" -1.29396542686559 31 9.61
"32" -0.678028243127283 32 10.24
"33" -1.85954535444884 33 10.89
"34" -0.888118406955317 34 11.56
"35" 0.130157661347483 35 12.25
"36" 1.47973373264113 36 12.96
"37" 0.951913329727128 37 13.69
"38" 0.709629890897407 38 14.44
"39" -1.91421101072417 39 15.21
"40" 1.17632884743326 40 16
"41" -0.984225608588928 41 16.81
"42" -0.904410356705712 42 17.64
"43" -0.0222959298859845 43 18.49
"44" -0.0377933771824203 44 19.36
"45" -1.85068348087576 45 20.25
"46" 0.916276689639856 46 21.16
"47" 0.486181819988467 47 22.09
"48" 0.558522582260893 48 23.04
"49" 1.31819103826882 49 24.01
"50" 2.25380301415517 50 25
"51" 1.4072041737875 51 26.01
"52" -0.873080705425929 52 27.04
"53" -0.418307507542708 53 28.09
"54" -0.219024089726637 54 29.16
"55" -0.0244639227947631 55 30.25
"56" -0.0753697213846186 56 31.36
"57" 2.21651849505264 57 32.49
"58" -2.15541690189681 58 33.64
"59" 0.796728540135097 59 34.81
"60" 0.298981480026893 60 36
"61" -0.361383968727825 61 37.21
